t-SNE 1,t-SNE 2,index,Labels
-136.26884,-48.458176,0,3
-159.51553,-37.35121,1,3
-119.46362,-12.45346,2,3
-97.34813,0.25579974,3,3
-48.999554,-75.63885,4,1
-138.47575,31.092289,5,3
-51.182175,10.743138,6,3
-115.761185,-8.88798,8,3
-101.76177,-16.865005,9,3
-52.58317,16.686106,10,3
-102.30498,-7.4489603,11,3
-108.15971,-15.2598915,12,3
-101.722466,-16.95625,13,3
-107.35699,-4.439688,14,3
-31.450256,-71.858116,15,1
-63.752197,37.836716,16,2
-94.436935,9.62254,17,3
-25.329191,-74.877045,18,1
-31.473207,-71.766014,19,1
-9.186098,-49.268864,20,1
-95.47094,18.852547,21,3
-5.868976,-45.955067,22,1
-60.164948,34.611824,23,2
-46.715527,23.7206,24,2
-63.12072,37.253956,25,2
-45.81194,25.536453,26,2
-43.41139,25.937235,27,2
-25.316315,-74.170235,28,1
-63.401043,37.51291,29,2
-43.068253,26.17706,30,2
-25.403204,-74.896645,31,1
-31.307238,-72.324135,32,1
-60.483845,34.86068,33,2
-46.72583,24.15924,34,2
-43.437187,26.090403,35,2
10.037245,-63.18706,36,1
-25.307432,-74.15904,37,1
-43.41128,25.974977,38,2
-43.55887,25.949238,39,2
-60.780724,35.097836,40,2
-44.822983,26.962719,41,2
-43.91774,23.15195,42,2
-59.891956,34.401203,43,2
-46.86053,21.577204,44,3
-127.13419,-11.343241,45,3
-47.489735,-101.423416,46,1
-13.5494995,-132.3243,47,1
-21.162683,-130.84552,48,1
-21.43595,-142.98747,49,1
-17.91265,-138.58408,50,1
-96.6654,-7.5972843,51,3
-97.56351,-7.231813,52,3
1.1948754,-51.87203,53,1
1.1204491,-51.493816,54,1
1.2587843,-53.45505,55,1
-1.213044,-54.024605,56,1
1.2587843,-53.45505,57,1
1.2587843,-53.45505,58,1
1.2590481,-53.454914,59,1
1.1204491,-51.493816,60,1
-2.1592274,-54.918995,61,1
-1.188046,-54.01723,62,1
1.2587843,-53.45505,63,1
1.1204491,-51.493816,64,1
-50.905205,151.4218,65,2
-73.90606,134.42961,66,2
12.449569,-83.38413,67,1
-89.437935,81.57103,68,2
-45.67832,92.311264,69,2
-43.04347,95.59188,70,2
-45.67832,92.311264,71,2
-55.406956,96.485695,72,2
-55.406956,96.485695,73,2
