,City,Latitude,Longitude
0,Kopenhagen,55.6867243,12.5700724
1,Nürnberg,49.453872,11.077298
2,Sankt Petersburg,59.9606739,30.1586551
3,Karlsbad,50.2306216,12.8701437
4,Elzach,48.1757263,8.0718474
5,Neuenburg,46.9895828,6.9292641
6,St. Urban,,
7,Luzern,47.0505452,8.3054682
8,Wien,48.2083537,16.3725042
9,Freiburg im Üechtland,46.8055656,7.1612669
10,Les Genevez,47.2567802,7.1293599
11,Grandson,46.8086306,6.6417532
12,Moudon,46.6680664,6.8003478
13,Beinwil,47.2302283,8.3422897
14,Madiswil,47.1648367,7.7968153
15,Pfaffnau,47.2273716,7.8984229
16,Genua,44.40726,8.9338624
17,Mailand,45.4641943,9.1896346
18,Speicher,49.9354628,6.6389817
19,Trogen,50.3639129,11.9531608
20,Aarburg,47.3206417,7.8993599
21,Kanton Schwyz,47.0571976,8.7222073
22,Azmoos,47.0808947,9.4754878
23,Babelsberg,52.3922047,13.108012731196634
24,Persenbeug-Gottsdorf,48.1999396,15.109379193305553
25,München,,
26,Sterzing,46.8963235,11.4319398
27,Suckowenhof,,
28,Straßburg,48.584614,7.7507127
29,Kensington and Chelsea,51.50379515,-0.20078938323179596
30,Offenbach am Main,50.1055002,8.7610698
31,London-Westminster,51.4945617,-0.1318579
32,Schwellbrunn,47.352345,9.2491335
33,Genf,46.2017559,6.1466014
34,Frankfurt am Main,50.1106444,8.6820917
35,Pfäfers,46.9908765,9.5012318
36,Schinznach-Bad,47.4515074,8.1676758
37,Schänis,47.1591758,9.0466793
38,Rapperswil,47.2266532,8.8164042
39,Nesslau-Krummenau,47.2487748,9.1694948
40,Wolfhalden,47.4526711,9.5507149
41,Bad Ragaz,47.0025282,9.5016438
42,Rheineck,47.4706336,9.584108
43,Lindau (Bodensee),47.550753,9.6926624
44,Vals,44.6553304,4.365739
45,Hüningen,47.5941514,7.5794613
46,Dornach,57.8796955,-4.0278869
47,Rufach,47.9569146,7.2994054
48,Guise,49.8982325,3.6262542
49,Porrentruy,47.4171297,7.0761342
50,Zwingen,47.4377543,7.5280899
51,La Neuveville,47.0637688,7.0927997
52,Mariastein,47.5261836,12.05395
53,Gorgier,46.9035345,6.7805424
54,La Grandville,49.77967,4.79555
55,Pfalzburg,48.767098,7.2586207
56,Hégenheim,47.5624713,7.5261691
57,Salins-les-Bains,46.9402176,5.8779343
58,Romainmôtier,46.6932583,6.4611912
59,Altona,53.5864667,9.777670940463931
60,Antwerpen,51.2211097,4.3997081
61,Gempen,47.475167,7.6602844
62,Rodersdorf,,
63,Riegel am Kaiserstuhl,48.1509439,7.7504953
64,Mouthe,46.7115978,6.1932371
65,Les Cullayes,46.5730628,6.7537317
66,Nidau,47.1250287,7.241157
67,Coppet,46.3164464,6.1927752
68,Champagnole,46.7456049,5.9083581
69,Klus,52.3917066,8.4550664
70,Bechburg,47.3334544,7.7670112
71,Oberbipp,47.2613485,7.6610534
72,Neu Falkenstein,50.1900474,8.476551096034367
73,Sumiswald,47.0285646,7.7449828
74,Font,46.8360097,6.8241395
75,Chenevières,48.5189686,6.6326157
76,Neapel,40.8358846,14.2487679
77,Jauernig,50.3919833,17.0025022
78,Sklov,54.21169,30.24519
79,Friedersdorf,50.6051808,11.03455886523884
80,Sarepta,32.8929177,-93.4485059
81,Mülhausen,47.7467233,7.3389937
82,Riemsloh-Hoyel,,
83,Minden (Westf),52.2905618,8.9344598
84,Zang,48.7295322,10.0740988
85,Adelby,54.78027125,9.468094735723334
86,Bickelsberg,48.2925828,8.6986744
87,Malmsheim,48.7745882,8.9035798
88,Kleinsachsenheim,48.9700957,9.0695757
89,Breslau,51.1089776,17.0326689
90,Esslingen am Neckar,48.7427584,9.3071685
91,Durlach,48.9994421,8.4702066
92,Brüssow,53.3994602,14.126711
93,Leer (Ostfriesland),53.2332168,7.4567555
94,Littfeld,51.0031569,7.9778438
95,Wilhelmsbad,50.144536849999994,8.889064756097373
96,Schloss Gottorf,54.51185315,9.540566890802062
97,Louisenlund,55.1366326,15.067600828816548
98,Bühler,47.3743991,9.4233806
99,Seengen,47.3252906,8.2079184
100,Sulgen,47.5452654,9.181648
101,Saanen,46.489756,7.2615837
102,Altkirch,47.6238204,7.2401542
103,Biel,47.1402077,7.2439029
104,Arisdorf,47.5123916,7.7654983
105,Urnäsch,47.3178621,9.2834506
106,Sirnach,47.461402,8.9934296
107,Seelisberg,46.9408848,8.5578958
108,Rüte,47.303675,9.457086
109,Pfersee,48.3617159,10.8675185
110,Avenches,46.879575,7.040941
111,Gelterkinden,47.4640069,7.8544495
112,"Berkeley, Calif.",37.8708393,-122.272863
113,Frankreich,46.603354,1.8883335
114,Kairo,30.0443879,31.2357257
115,Rom,41.8933203,12.4829321
116,"New York, NY",40.7127281,-74.0060152
117,Mettenheim,49.7388606,8.3250304
118,Triest,45.6496485,13.7772781
119,Châtres,48.7089097,2.8095273
120,Lüttich,50.6450944,5.5736112
121,Halle (Saale),51.4825041,11.9705452
122,Wildhaus,47.2033184,9.3507024
123,Warschau,52.2319581,21.0067249
124,Rohrbach,49.0460974,7.2655417
125,Wiedlisbach,47.2524377,7.6471049
126,Wangen an der Aare,47.2353036,7.65517
127,Lausen,47.4736459,7.7591139
128,Reigoldswil,47.3974255,7.6918178
129,Ziefen,47.4305811,7.7063432
130,Moskau,55.7505412,37.6174782
131,Redwitz,50.1689647,11.2075788
132,Montmirail,48.8708848,3.5381991
133,Pieterlen,47.1750219,7.3361682
134,Muri bei Bern,46.9290477,7.4870909
135,Oberseebach,47.3579346,13.8166748
136,Tenniken,47.4363734,7.8116851
137,Frenkendorf,47.5028543,7.7138283
138,Langenbruck,47.3498274,7.7681007
139,Rued,49.7942406,5.8217518
140,Mogelsberg,47.3607886,9.1358183
141,Langnau am Albis,47.2876627,8.5372813
142,Läufelfingen,47.3958161,7.8546951
143,Buus,47.5055264,7.8650401
144,Waldstatt,47.3563362,9.2838414
145,Altnau,47.61241,9.260705
146,Bargen,47.791799,8.6102341
147,Teufen,47.392763,9.3947222
148,Wallerstein,48.8995141,10.452811
149,Aarwangen,47.239082,7.7701468
150,Lohn-Ammannsegg,47.1710866,7.5267532
151,Engelberg,46.8223497,8.4043996
152,Attiswil,47.2492334,7.6133081
153,Escholzmatt,46.9140785,7.9348793
154,Malans,47.2635,5.59638
155,Riedholz,48.2620477,15.290397
156,Schönenwerd,47.3721555,8.0054417
157,Oberrieden,48.0884013,10.4273041
158,Murten,46.9288643,7.1163909
